OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_3970	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Tolypocladium paradoxum	?
OTU_3969	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	?	uncultured Chloroflexi bacterium
OTU_3959	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	uncultured Conexibacteraceae bacterium	?
OTU_3967	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3966	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 1	uncultured prokaryote
OTU_3972	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	uncultured archaeon	?	?	?
OTU_3971	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales Incertae Sedis	Candidatus Microthrix	uncultured Firmicutes bacterium
OTU_3968	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	Anaerosporobacter mobilis
OTU_3975	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	?	?
OTU_3973	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured Chloroflexi bacterium	?	?
OTU_3974	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium lathyri
OTU_3981	Bacteria	Actinobacteria	MB-A2-108	?	?	?	?
OTU_3983	Bacteria	Bacteroidetes	Sphingobacteriia	?	?	?	?
OTU_3980	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	?
OTU_3977	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	0319-6M6	?	?
OTU_3897	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU_3988	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3985	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3979	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteibacter	Luteibacter yeojuensis
OTU_3990	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_3986	Bacteria	?	?	?	?	?	?
OTU_3982	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. KAR72
OTU_3991	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Leptolyngbya	?
OTU_3987	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	?	?
OTU_3984	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	?	?
OTU_3992	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	?	?
OTU_3989	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	?	?
OTU_3995	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3997	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	?	?	?
OTU_3993	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	JG34-KF-361	?	?
OTU_3998	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	?	?	?
OTU_4001	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_3996	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	?
OTU_4003	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_3999	Bacteria	Saccharibacteria	?	?	?	?	?
OTU_3994	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	?
OTU_4002	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	?
OTU_4004	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	?
OTU_4000	Bacteria	Bacteroidetes	?	?	?	?	?
OTU_4005	Bacteria	Cyanobacteria	Cyanobacteria	?	?	?	?
OTU_4008	Bacteria	Proteobacteria	?	?	?	?	?
OTU_4006	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	?	?
OTU_4009	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Asaia bogorensis
OTU_4015	Bacteria	Proteobacteria	?	?	?	?	?
OTU_4013	Bacteria	Cyanobacteria	Chloroplast	Desmochloris halophila	?	?	?
OTU_4007	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	?
OTU_4010	Bacteria	Tectomicrobia	uncultured microorganism	?	?	?	?
OTU_4020	Bacteria	?	?	?	?	?	?
OTU_4016	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_4018	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU_4014	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Elev-16S-1332	?	?
OTU_4019	Bacteria	Cyanobacteria	Chloroplast	Gloeotilopsis sterilis	?	?	?
OTU_4021	Bacteria	Chloroflexi	Dehalococcoidia	?	?	?	?
OTU_4011	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	uncultured beta proteobacterium
OTU_4012	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. TMN-38-1
OTU_4026	Bacteria	Proteobacteria	?	?	?	?	?
OTU_4017	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured actinobacterium
