OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_2487	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	?
OTU_2488	unidentified	unidentified	unidentified	unidentified	unidentified	?	?
OTU_2489	Fungi	Basidiomycota	Agaricomycetes	Polyporales	unidentified	unidentified	?
OTU_2490	unidentified	unidentified	unidentified	unidentified	unidentified	?	?
OTU_2492	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU_2491	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria_cisticola
OTU_2494	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_drummii
OTU_2496	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2493	Fungi	Ascomycota	?	?	?	?	?
OTU_2495	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	unidentified	unidentified
OTU_2497	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2498	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_sadebeckii
OTU_2499	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_2501	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2500	Fungi	?	?	?	?	?	?
OTU_2502	unidentified	unidentified	unidentified	?	?	?	?
OTU_2505	Fungi	Ascomycota	Pezizomycetes	unidentified	unidentified	unidentified	unidentified
OTU_2503	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2504	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	unidentified
OTU_2477	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	?	?	?
OTU_2506	Fungi	unidentified	?	?	?	?	?
OTU_2509	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia_repens
OTU_2508	Fungi	Ascomycota	Sordariomycetes	Diaporthales	unidentified	unidentified	unidentified
OTU_2507	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_2511	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces_pyricola
OTU_2514	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2512	Viridiplantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Tortula	Tortula_protobryoides
OTU_2510	Fungi	Ascomycota	Sordariomycetes	Xylariales	Coniocessiaceae	Coniocessia	unidentified
OTU_2513	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2515	Fungi	unidentified	?	?	?	?	?
OTU_2516	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	unidentified
OTU_2517	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	unidentified	unidentified
OTU_2519	Fungi	Basidiomycota	Exobasidiomycetes	?	?	?	?
OTU_2471	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2520	unidentified	unidentified	unidentified	unidentified	unidentified	?	?
OTU_2521	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_2518	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces_albidus
OTU_2522	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Myrmecia	Myrmecia_israeliensis
OTU_2523	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	?
OTU_2524	Viridiplantae	Chlorophyta	unidentified	unidentified	unidentified	Pseudostichococcus	?
OTU_2528	unidentified	unidentified	?	?	?	?	?
OTU_2526	unidentified	unidentified	unidentified	unidentified	unidentified	?	?
OTU_2525	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2527	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2529	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	?	?	?
OTU_2531	Fungi	unidentified	unidentified	?	?	?	?
OTU_2530	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Massarina	?
OTU_2532	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2536	Fungi	?	?	?	?	?	?
OTU_2534	Fungi	Basidiomycota	?	?	?	?	?
OTU_2535	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2537	Fungi	Chytridiomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2533	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_sublatispora
OTU_2539	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2538	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	Heterobasidion_annosum
OTU_2541	unidentified	unidentified	unidentified	?	?	?	?
OTU_2543	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_drummii
OTU_2544	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2542	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2540	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2549	unidentified	unidentified	unidentified	?	?	?	?
OTU_2545	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	Neodevriesia_capensis
OTU_2546	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia_buhagiarii
OTU_2550	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_2551	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	?
OTU_2552	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	?
OTU_2547	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Buellia	Buellia_disciformis
OTU_2556	Viridiplantae	Chlorophyta	unidentified	unidentified	unidentified	Gonium	Gonium_pectorale
OTU_2554	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2555	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_nespori
OTU_2558	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Merismodes	Merismodes_granulosa
OTU_2548	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2557	unidentified	unidentified	?	?	?	?	?
OTU_2562	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2553	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2559	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	Ramariopsis_crocea
OTU_2560	Viridiplantae	Anthophyta	?	?	?	?	?
OTU_2565	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	?	?
OTU_2563	Fungi	Ascomycota	Lecanoromycetes	unidentified	unidentified	unidentified	unidentified
OTU_2561	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_2564	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2569	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2567	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
OTU_2572	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2573	unidentified	unidentified	?	?	?	?	?
OTU_2568	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emmonsiellopsis	Emmonsiellopsis_coralliformis
OTU_2570	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_conicus
OTU_2574	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2571	Rhizaria	Cercozoa	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2576	Fungi	unidentified	unidentified	unidentified	?	?	?
OTU_2575	unidentified	unidentified	?	?	?	?	?
OTU_2578	unidentified	unidentified	?	?	?	?	?
OTU_2577	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	?
OTU_2582	Viridiplantae	Chlorophyta	unidentified	?	?	?	?
OTU_2581	unidentified	unidentified	?	?	?	?	?
OTU_2580	Fungi	Ascomycota	?	?	?	?	?
OTU_2579	Viridiplantae	Chlorophyta	Chlorophyceae	Volvocales	Chlamydomonadaceae	unidentified	unidentified
OTU_2583	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	unidentified
OTU_2584	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2585	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus_ulmarius
OTU_2587	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2588	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Adisciso	Adisciso_kaki
OTU_2589	Fungi	unidentified	unidentified	?	?	?	?
OTU_2590	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2591	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unidentified	unidentified	?
OTU_2592	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2593	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	?	?	?
OTU_2594	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2597	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified
OTU_2595	Viridiplantae	Anthophyta	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2596	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2566	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU_2598	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	?	?
OTU_2600	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	unidentified	unidentified	unidentified
OTU_2601	unidentified	unidentified	?	?	?	?	?
OTU_2603	unidentified	unidentified	?	?	?	?	?
OTU_2599	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2602	Fungi	Basidiomycota	?	?	?	?	?
OTU_2604	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2607	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomatales_fam_Incertae_sedis	Tilletiopsis	Tilletiopsis_washingtonensis
OTU_2608	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma_cylindrica
OTU_2605	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2606	Fungi	unidentified	?	?	?	?	?
OTU_2609	unidentified	unidentified	?	?	?	?	?
OTU_2610	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Cryptodiscus	?
OTU_2612	Fungi	Chytridiomycota	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2611	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2616	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia_simplex
OTU_2614	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2613	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2617	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	?	?
OTU_2619	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	unidentified
OTU_2618	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_domesticus
OTU_2620	Fungi	Ascomycota	Saccharomycetes	?	?	?	?
OTU_2621	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2623	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	unidentified	unidentified	unidentified
OTU_2622	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
OTU_2615	Viridiplantae	Chlorophyta	?	?	?	?	?
OTU_2625	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2627	Fungi	Basidiomycota	?	?	?	?	?
OTU_2626	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Rhodocollybia	Rhodocollybia_butyracea
OTU_2628	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Biscogniauxia	Biscogniauxia_nummularia
OTU_2629	Fungi	unidentified	?	?	?	?	?
OTU_2624	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2631	Fungi	Basidiomycota	?	?	?	?	?
OTU_2630	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	Dichotomopilus_erectus
OTU_2635	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	unidentified
OTU_2633	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Skvortzovia	Skvortzovia_pinicola
OTU_2636	Fungi	unidentified	?	?	?	?	?
OTU_2637	unidentified	unidentified	unidentified	?	?	?	?
OTU_2632	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Neolentinus	Neolentinus_cyathiformis
OTU_2638	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	unidentified
OTU_2641	Fungi	Basidiomycota	?	?	?	?	?
OTU_2643	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_lysinophilum
OTU_2639	unidentified	unidentified	?	?	?	?	?
OTU_2640	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	unidentified	unidentified	unidentified
OTU_2586	Viridiplantae	Chlorophyta	?	?	?	?	?
OTU_2634	Viridiplantae	Chlorophyta	unidentified	?	?	?	?
OTU_2644	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Dichomitus	Dichomitus_campestris
OTU_2649	Fungi	Basidiomycota	?	?	?	?	?
